total_timesteps,n_updates,ep_len_mean,ep_reward_mean_agt1,ep_reward_mean_agt2,Environment Depth,ball_collision_agt1,ball_collision_agt2,no_side_agt1,no_side_agt2
647168.0,158.0,423.66,-3.28,-5.82,6.0,1.13,0.65,2.62,10.08
651264.0,159.0,424.4,-3.38,-5.71,6.0,1.1,0.62,2.53,9.47
655360.0,160.0,425.27,-3.39,-5.71,6.0,1.14,0.71,2.52,9.4
659456.0,161.0,426.75,-3.32,-5.76,6.0,1.19,0.73,2.56,9.84
663552.0,162.0,427.31,-3.27,-5.84,6.0,1.13,0.7,2.56,10.02
667648.0,163.0,425.96,-3.17,-5.98,6.0,1.19,0.67,2.55,10.04
671744.0,164.0,425.91,-3.16,-5.97,6.0,1.24,0.65,2.83,9.76
675840.0,165.0,425.4,-3.16,-6.0,6.0,1.31,0.62,3.06,9.45
679936.0,166.0,427.28,-3.15,-6.01,6.0,1.37,0.68,3.84,8.63
684032.0,167.0,426.21,-3.06,-6.13,6.0,1.47,0.69,3.75,8.34
688128.0,168.0,423.35,-3.08,-6.15,6.0,1.54,0.66,3.75,7.96
692224.0,169.0,423.26,-3.09,-6.15,6.0,1.46,0.64,4.0,8.01
696320.0,170.0,422.38,-3.01,-6.2,6.0,1.45,0.56,3.9,7.59
700416.0,171.0,423.36,-3.07,-6.15,6.0,1.45,0.51,4.13,7.11
704512.0,172.0,422.23,-3.14,-6.09,6.0,1.45,0.6,4.19,7.13
708608.0,173.0,423.18,-3.07,-6.14,6.0,1.53,0.61,4.48,7.55
712704.0,174.0,422.72,-3.12,-6.14,6.0,1.52,0.59,4.26,7.4
716800.0,175.0,422.53,-3.13,-6.15,6.0,1.42,0.55,4.13,8.62
720896.0,176.0,420.91,-3.13,-6.13,6.0,1.37,0.54,3.74,8.95
724992.0,177.0,421.0,-3.14,-6.1,6.0,1.35,0.52,3.65,9.25
729088.0,178.0,418.28,-3.2,-6.07,6.0,1.23,0.49,3.74,8.31
733184.0,179.0,418.9,-3.19,-6.09,6.0,1.34,0.47,4.21,8.35
737280.0,180.0,420.1,-3.18,-6.12,6.0,1.36,0.48,4.46,8.37
741376.0,181.0,419.84,-3.2,-6.12,6.0,1.33,0.52,4.21,9.0
745472.0,182.0,421.78,-3.19,-6.1,6.0,1.45,0.49,4.7,8.8
749568.0,183.0,423.25,-3.37,-5.89,6.0,1.32,0.55,5.77,8.4
753664.0,184.0,423.21,-3.3,-5.97,6.0,1.32,0.51,6.1,8.39
757760.0,185.0,423.16,-3.3,-5.97,6.0,1.44,0.53,6.48,8.87
761856.0,186.0,424.07,-3.34,-5.92,6.0,1.35,0.58,6.5,8.26
765952.0,187.0,423.41,-3.31,-6.0,6.0,1.36,0.52,6.88,8.24
770048.0,188.0,423.93,-3.29,-6.01,6.0,1.42,0.53,7.42,8.34
774144.0,189.0,420.89,-3.24,-6.08,6.0,1.35,0.51,7.74,8.2
778240.0,190.0,418.33,-3.25,-6.07,6.0,1.28,0.51,7.65,7.47
782336.0,191.0,419.18,-3.25,-6.06,6.0,1.21,0.59,7.67,7.39
786432.0,192.0,421.62,-3.27,-5.99,6.0,1.08,0.66,7.12,6.89
790528.0,193.0,421.57,-3.21,-6.06,6.0,1.1,0.6,6.95,7.63
794624.0,194.0,422.9,-3.17,-6.07,6.0,1.14,0.62,6.26,6.89
798720.0,195.0,420.76,-3.17,-6.06,6.0,1.12,0.62,5.99,5.39
802816.0,196.0,420.49,-3.19,-6.06,6.0,1.15,0.57,5.71,4.78
806912.0,197.0,423.57,-3.15,-6.02,6.0,1.2,0.58,5.33,4.73
811008.0,198.0,424.4,-3.19,-5.95,6.0,1.14,0.58,4.46,4.31
815104.0,199.0,427.99,-3.22,-5.9,6.0,1.13,0.62,3.94,5.36
819200.0,200.0,431.02,-3.23,-5.87,6.0,1.28,0.62,4.03,5.48
823296.0,201.0,432.27,-3.2,-5.88,6.0,1.36,0.62,4.14,5.51
827392.0,202.0,430.5,-3.13,-5.95,6.0,1.39,0.5,3.92,5.63
831488.0,203.0,426.92,-3.11,-6.0,6.0,1.36,0.5,3.87,5.11
835584.0,204.0,423.52,-3.21,-5.95,6.0,1.36,0.48,3.48,5.63
839680.0,205.0,424.01,-3.25,-5.89,6.0,1.37,0.52,3.03,5.8
843776.0,206.0,425.09,-3.28,-5.85,6.0,1.33,0.55,3.02,5.97
847872.0,207.0,423.78,-3.32,-5.82,6.0,1.31,0.61,3.05,5.87
851968.0,208.0,422.87,-3.38,-5.8,6.0,1.31,0.69,2.96,6.53
856064.0,209.0,420.8,-3.37,-5.82,6.0,1.34,0.67,3.06,5.54
860160.0,210.0,419.93,-3.39,-5.84,6.0,1.31,0.69,3.4,5.43
864256.0,211.0,418.06,-3.41,-5.85,6.0,1.33,0.66,3.45,5.3
868352.0,212.0,416.1,-3.53,-5.79,6.0,1.37,0.61,4.33,5.04
872448.0,213.0,419.61,-3.57,-5.7,6.0,1.5,0.64,4.68,5.41
876544.0,214.0,419.23,-3.56,-5.72,6.0,1.49,0.6,4.93,4.97
880640.0,215.0,420.23,-3.59,-5.69,6.0,1.47,0.59,5.18,4.78
884736.0,216.0,422.31,-3.58,-5.65,6.0,1.52,0.62,5.52,4.84
888832.0,217.0,422.9,-3.47,-5.77,6.0,1.59,0.61,5.58,5.09
892928.0,218.0,422.23,-3.43,-5.81,6.0,1.46,0.55,5.81,4.83
897024.0,219.0,420.76,-3.47,-5.74,6.0,1.44,0.49,5.97,4.78
901120.0,220.0,423.19,-3.51,-5.66,6.0,1.45,0.51,6.25,4.98
905216.0,221.0,422.75,-3.5,-5.66,6.0,1.39,0.46,6.06,4.96
909312.0,222.0,426.15,-3.4,-5.73,6.0,1.39,0.56,5.53,5.19
913408.0,223.0,423.74,-3.37,-5.8,6.0,1.35,0.56,4.95,4.66
917504.0,224.0,426.54,-3.36,-5.79,6.0,1.37,0.61,5.46,4.91
921600.0,225.0,428.34,-3.34,-5.8,6.0,1.47,0.6,5.59,5.16
925696.0,226.0,427.94,-3.3,-5.84,6.0,1.48,0.59,5.65,5.21
929792.0,227.0,426.33,-3.29,-5.88,6.0,1.46,0.58,5.44,5.88
933888.0,228.0,425.41,-3.31,-5.9,6.0,1.5,0.57,5.52,5.49
937984.0,229.0,428.44,-3.33,-5.85,6.0,1.57,0.61,5.46,5.46
942080.0,230.0,428.73,-3.28,-5.87,6.0,1.56,0.6,5.0,5.04
946176.0,231.0,428.6,-3.24,-5.93,6.0,1.58,0.61,4.92,5.59
950272.0,232.0,425.61,-3.26,-5.92,6.0,1.62,0.61,4.83,5.16
954368.0,233.0,425.3,-3.27,-5.89,6.0,1.59,0.65,4.9,4.9
958464.0,234.0,423.58,-3.24,-5.94,6.0,1.48,0.71,4.72,5.14
962560.0,235.0,423.03,-3.26,-5.92,6.0,1.43,0.78,4.75,4.47
966656.0,236.0,422.33,-3.22,-5.97,6.0,1.32,0.81,4.33,4.52
970752.0,237.0,424.12,-3.25,-5.91,6.0,1.32,0.81,4.46,4.09
974848.0,238.0,422.84,-3.33,-5.83,6.0,1.26,0.74,4.74,4.25
978944.0,239.0,425.61,-3.24,-5.86,6.0,1.27,0.76,5.26,4.38
983040.0,240.0,422.84,-3.21,-5.95,6.0,1.24,0.75,5.74,4.48
987136.0,241.0,423.59,-3.13,-6.02,6.0,1.24,0.71,6.21,4.36
991232.0,242.0,425.14,-3.07,-6.07,6.0,1.16,0.66,6.45,4.53
995328.0,243.0,425.56,-3.13,-6.01,6.0,1.24,0.69,6.5,4.46
999424.0,244.0,425.35,-3.12,-6.03,6.0,1.29,0.62,6.76,4.53
1003520.0,245.0,424.91,-3.11,-6.08,6.0,1.38,0.54,7.3,4.29
1007616.0,246.0,428.62,-3.13,-6.04,6.0,1.46,0.57,7.65,4.19
1011712.0,247.0,431.88,-3.18,-5.94,6.0,1.5,0.56,7.79,4.32
1015808.0,248.0,432.01,-3.14,-5.99,6.0,1.45,0.54,7.3,3.96
1019904.0,249.0,433.57,-3.11,-6.01,6.0,1.49,0.6,6.67,4.39
1024000.0,250.0,431.35,-3.12,-6.06,6.0,1.55,0.66,6.52,4.31
1028096.0,251.0,430.43,-3.25,-5.93,6.0,1.53,0.66,5.63,4.86
1032192.0,252.0,428.5,-3.3,-5.9,6.0,1.51,0.64,5.7,5.24
1036288.0,253.0,426.85,-3.33,-5.85,6.0,1.4,0.6,5.66,5.05
1040384.0,254.0,428.31,-3.27,-5.84,6.0,1.46,0.58,5.86,5.07
1044480.0,255.0,428.18,-3.31,-5.79,6.0,1.43,0.58,5.52,5.1
1048576.0,256.0,427.05,-3.36,-5.76,6.0,1.41,0.55,4.89,4.82
1052672.0,257.0,424.05,-3.4,-5.75,6.0,1.34,0.57,5.3,5.03
1056768.0,258.0,423.67,-3.41,-5.75,6.0,1.4,0.55,5.74,4.86
1060864.0,259.0,424.49,-3.52,-5.61,6.0,1.4,0.55,6.01,4.86
1064960.0,260.0,425.23,-3.56,-5.57,6.0,1.38,0.53,6.11,5.02
1069056.0,261.0,428.23,-3.57,-5.53,6.0,1.48,0.54,6.79,4.85
1073152.0,262.0,434.3,-3.59,-5.38,6.0,1.45,0.63,7.09,4.23
1077248.0,263.0,436.91,-3.65,-5.31,6.0,1.46,0.76,7.59,4.2
1081344.0,264.0,440.41,-3.68,-5.23,6.0,1.44,0.82,7.36,4.58
1085440.0,265.0,437.33,-3.63,-5.36,6.0,1.46,0.78,7.13,5.04
1089536.0,266.0,438.53,-3.65,-5.33,6.0,1.63,0.8,7.41,4.98
1093632.0,267.0,438.88,-3.56,-5.4,6.0,1.73,0.88,7.46,5.24
1097728.0,268.0,437.01,-3.52,-5.44,6.0,1.69,0.82,7.35,5.07
1101824.0,269.0,439.87,-3.5,-5.44,6.0,1.73,0.93,7.44,5.1
1105920.0,270.0,440.69,-3.46,-5.48,6.0,1.78,0.94,7.44,5.21
1110016.0,271.0,441.18,-3.48,-5.42,6.0,1.66,0.93,7.43,4.75
1114112.0,272.0,438.52,-3.47,-5.45,6.0,1.68,0.93,6.91,4.79
1118208.0,273.0,433.83,-3.54,-5.48,6.0,1.68,0.86,6.41,4.53
1122304.0,274.0,433.43,-3.43,-5.61,6.0,1.84,0.82,6.58,4.69
1126400.0,275.0,433.37,-3.44,-5.58,6.0,1.86,0.79,6.44,4.35
1130496.0,276.0,431.6,-3.39,-5.65,6.0,1.9,0.74,6.34,4.26
1134592.0,277.0,435.86,-3.38,-5.57,6.0,1.73,0.8,5.81,4.43
1138688.0,278.0,435.88,-3.41,-5.56,6.0,1.76,0.73,5.38,4.42
1142784.0,279.0,434.61,-3.41,-5.57,6.0,1.73,0.7,5.09,4.54
1146880.0,280.0,432.14,-3.44,-5.54,6.0,1.59,0.67,4.69,4.55
1150976.0,281.0,427.27,-3.43,-5.61,6.0,1.53,0.62,4.61,4.71
